question,answers
"Who is the author of the book ""The Swordbearer""?",Glen Cook
"Who is the author of the book ""Jerusalem Inn""?",Martha Grimes
"Who is the author of the book ""Books of Blood: Volume Two""?",Clive Barker
"Who is the author of the book ""Love It Forward""?",Jeff Brown
"Who is the author of the book ""How to Abduct a Highland Lord""?",Karen Hawkins
"Who is the author of the book ""Liberation Day""?",Andy McNab
"Who is the author of the book ""The Rise and Fall of Black Wall Street""?",Robin Walker
"Who is the author of the book ""Some People, Places, And Things That Will Not Appear In My Next Novel""?",John Cheever
"Who is the author of the book ""Ink and Bone""?",Lisa Unger
"Who is the author of the book ""Infidel""?",Ted Dekker
"Who is the author of the book ""Baseball World Series""?",Matt Christopher
"Who is the author of the book ""Hell's Gate""?",David Weber
"Who is the author of the book ""The Kingdom on the Waves""?",M.T. Anderson
"Who is the author of the book ""The Knight of the Swords""?",Michael Moorcock
"Who is the author of the book ""The Rise of Silas Lapham""?",Howells William Dean
"Who is the author of the book ""Black Prophetic Fire""?",Cornel West
"Who is the author of the book ""Shadows in the Sun: Travels to Landscapes of Spirit and Desire""?",Wade Davis
"Who is the author of the book ""Mexico City Blues""?",Jack Kerouac
"Who is the author of the book ""Wait Till I'm Dead: Uncollected Poems""?",Allen Ginsberg
"Who is the author of the book ""Lying""?",Sam Harris
"Who is the author of the book ""Why Good People Do Bad Things: Understanding Our Darker Selves""?",James Hollis
"Who is the author of the book ""The Darkest Star""?",Jennifer L. Armentrout
"Who is the author of the book ""I See You Everywhere""?",Julia Glass
"Who is the author of the book ""Summary: Yes! - Noah Goldstein, Steve Martin and Robert Cialdini: 50 Scientifically Proven Ways To Be Persuasive""?",BusinessNews Publishing
"Who is the author of the book ""The Kill Society""?",Richard Kadrey
"Who is the author of the book ""A Man of Affairs""?",John D. MacDonald
"Who is the author of the book ""The End of Patriarchy: Radical Feminism for Men""?",Robert Jensen
"Who is the author of the book ""Get Your Hopes Up!: Expect Something Good to Happen to You Every Day""?",Joyce Meyer
"Who is the author of the book ""For Whom the Bell Tolls""?",Ernest Hemingway
"Who is the author of the book ""Stepping Heavenward""?",Elizabeth Prentiss
"Who is the author of the book ""Memorias del subsuelo""?",Fyodor Dostoyevsky
"Who is the author of the book ""Nonrequired Reading""?",Wisława Szymborska
"Who is the author of the book ""Kitty and the Dead Man's Hand""?",Carrie Vaughn
"Who is the author of the book ""Nor Crystal Tears""?",Alan Dean Foster
"Who is the author of the book ""Civilización: Occidente y el resto""?",Niall Ferguson
"Who is the author of the book ""Trust Fund""?",Stephen W. Frey
"Who is the author of the book ""The Mistaken Widow""?",Cheryl St.John
"Who is the author of the book ""Catwings""?",Ursula K. Le Guin
"Who is the author of the book ""The Cleft""?",Doris Lessing
"Who is the author of the book ""On Beauty""?",Zadie Smith
"Who is the author of the book ""The Darwath Trilogy: The Time of the Dark, The Walls of Air, and The Armies of Daylight""?",Barbara Hambly
"Who is the author of the book ""10 People Every Christian Should Know""?",Warren W. Wiersbe
"Who is the author of the book ""The Dark Side of Midnight: Featuring The Other Side of Midnight, Rage of Angels, Bloodline""?",Sidney Sheldon
"Who is the author of the book ""Grave Shadows: 5""?",Jerry B. Jenkins
"Who is the author of the book ""The Rising Sea""?",Clive Cussler
"Who is the author of the book ""When the Music's Over""?",Peter Robinson
"Who is the author of the book ""The Cat Who Went Bump in the Night & Other Mysteries""?",Angela Pepper
"Who is the author of the book ""Law and Gospel: A Theology for Sinners""?",William McDavid
"Who is the author of the book ""Election""?",Tom Perrotta
"Who is the author of the book ""African American History: A Captivating Guide to the People and Events that Shaped the History of the United States""?",Captivating History
"Who is the author of the book ""Royal Charles: Charles II and the Restoration""?",Antonia Fraser
"Who is the author of the book ""The Greatest Salesman in the World (2001): 2001 Gift Edition""?",Og Mandino
"Who is the author of the book ""The Hidden Reality: Parallel Universes and the Deep Laws of the Cosmos""?",Brian Greene
"Who is the author of the book ""The Inn at Rose Harbor""?",Debbie Macomber
"Who is the author of the book ""The Night of the Hunter""?",Davis Grubb
"Who is the author of the book ""The Taste of Innocence""?",Stephanie Laurens
"Who is the author of the book ""The Thirteenth Pearl""?",Carolyn Keene
"Who is the author of the book ""A Paradise Built in Hell""?",Rebecca Solnit
"Who is the author of the book ""Mother Night""?",Kurt Vonnegut
"Who is the author of the book ""Inspirational Quotes: Top 365 Inspirational Quotes and Motivational Quotes""?",Tudor Wild
"Who is the author of the book ""The Outlander Series 7-Book Bundle: Outlander, Dragonfly in Amber, Voyager, Drums of Autumn, The Fiery Cross, A Breath of Snow and Ashes, An Echo in the Bone""?",Diana Gabaldon
"Who is the author of the book ""If I Have a Wicked Stepmother, Where's My Prince?""?",Melissa Kantor
"Who is the author of the book ""Half a Life""?",Darin Strauss
"Who is the author of the book ""Islam in History: Ideas, People, and Events in the Middle East""?",Bernard Lewis
"Who is the author of the book ""Courting Catherine""?",Nora Roberts
"Who is the author of the book ""Bear, Otter, and the Kid""?",T.J. Klune
"Who is the author of the book ""O Melhor Livro Sobre Nada""?",Jerry Seinfeld
"Who is the author of the book ""Frost Wolf""?",Kathryn Lasky
"Who is the author of the book ""The Risk Pool""?",Richard Russo
"Who is the author of the book ""Fuzz""?",Ed McBain
"Who is the author of the book ""Amazing Grace""?",Danielle Steel
"Who is the author of the book ""The World of Samuel Beckett, 1906-1946""?",Lois Gordon
"Who is the author of the book ""Holy Envy: Finding God in the Faith of Others""?",Barbara Brown Taylor
"Who is the author of the book ""Letters to a Young Farmer: On Food, Farming, and Our Future""?",Joel Salatin
"Who is the author of the book ""Kansas City Lightning""?",Stanley Crouch
"Who is the author of the book ""Moonwalk""?",Michael Jackson
"Who is the author of the book ""Wideacre""?",Philippa Gregory
"Who is the author of the book ""Love In A Blue Time""?",Hanif Kureishi
"Who is the author of the book ""Darkness At Dawn""?",Cornell Woolrich
"Who is the author of the book ""Fantasia of the Unconscious""?",D.H. Lawrence
"Who is the author of the book ""Go the Fuck to Sleep""?",Adam Mansbach
"Who is the author of the book ""Pretties""?",Scott Westerfeld
"Who is the author of the book ""Berserker's Planet""?",Fred Saberhagen
"Who is the author of the book ""Hidden Fires""?",Sandra Brown
"Who is the author of the book ""Life Among the Lutherans""?",Garrison Keillor
"Who is the author of the book ""Arrow's Flight""?",Mercedes Lackey
"Who is the author of the book ""The Ghosts of England: A Collection of Ghost Stories across the English Nation""?",Charles River Editors
"Who is the author of the book ""Enoch Primordial""?",Brian Godawa
"Who is the author of the book ""Stopping by Woods on a Snowy Evening""?",Robert Frost
"Who is the author of the book ""Foreign Influence""?",Brad Thor
"Who is the author of the book ""The Ghost""?",Danielle Steel
"Who is the author of the book ""A Bittersweet Season: Caring for Our Aging Parents--and Ourselves""?",Jane Gross
"Who is the author of the book ""Selected Poems from Les Fleurs du mal: A Bilingual Edition""?",Charles Baudelaire
"Who is the author of the book ""The Selected Prose of Fernando Pessoa""?",Fernando Pessoa
"Who is the author of the book ""The Secret Chord""?",Geraldine Brooks
"Who is the author of the book ""On Teaching and Writing Fiction""?",Wallace Stegner
"Who is the author of the book ""The Gospel in Brief""?",Leo Tolstoy
"Who is the author of the book ""Narration: Four Lectures by Gertrude Stein""?",Gertrude Stein
"Who is the author of the book ""Death and Fame: Last Poems, 1993-1997""?",Allen Ginsberg
"Who is the author of the book ""Existential Psychology""?",Irvin D. Yalom
"Who is the author of the book ""The Very Best of Kate Elliott""?",Kate Elliott
"Who is the author of the book ""On Literature""?",Umberto Eco
"Who is the author of the book ""El amor de mi vida""?",Rosa Montero
"Who is the author of the book ""Breathing Lessons""?",Anne Tyler
"Who is the author of the book ""All Tomorrow's Parties""?",William Gibson
"Who is the author of the book ""Beach House Reunion""?",Mary Alice Monroe
"Who is the author of the book ""J.S. Mill: Philosophy in an Hour""?",Paul Strathern
"Who is the author of the book ""My Father, the Pornographer: A Memoir""?",Chris Offutt
"Who is the author of the book ""The Poisoned Crown""?",Amanda Hemingway
"Who is the author of the book ""Hand Of Evil""?",J.A. Jance
"Who is the author of the book ""Alive""?",Ha Jin
"Who is the author of the book ""The Four Conversations: Daily Communication That Gets Results""?",Jeffrey D. Ford
"Who is the author of the book ""Anne of Ingleside:""?",L.M. Montgomery
"Who is the author of the book ""Chaos: A Very Short Introduction""?",Leonard A. Smith
"Who is the author of the book ""The Improbable Rise of Singularity Girl""?",Bryce C. Anderson
"Who is the author of the book ""Angels Of Darkness""?",Ilona Andrews
"Who is the author of the book ""The Best American Essays 2011""?",Edwidge Danticat
"Who is the author of the book ""So Brave, Young and Handsome""?",Leif Enger
"Who is the author of the book ""All Flesh Is Grass""?",Clifford D. Simak
"Who is the author of the book ""Liquor""?",Poppy Z. Brite
"Who is the author of the book ""Showing Off""?",Sarah Mlynowski
"Who is the author of the book ""Network Propaganda: Manipulation, Disinformation, and Radicalization in American Politics""?",Yochai Benkler
"Who is the author of the book ""The Talisman Ring""?",Georgette Heyer
"Who is the author of the book ""Reformation Thought""?",Alister E. McGrath
"Who is the author of the book ""The American West as Living Space""?",Wallace Stegner
"Who is the author of the book ""Blue Wide Sky""?",Inglath Cooper
"Who is the author of the book ""A Quilter's Holiday""?",Jennifer Chiaverini
"Who is the author of the book ""The Family Reunion""?",T.S. Eliot
"Who is the author of the book ""League of Dragons""?",Naomi Novik
"Who is the author of the book ""Angels Twice Descending""?",Cassandra Clare
"Who is the author of the book ""The Slow Cooker Cookbook: 87 Easy, Healthy, and Delicious Recipes for Slow Cooked Meals""?",John Chatham
"Who is the author of the book ""Personal Demons""?",Lisa Desrochers
"Who is the author of the book ""The Dragon in the Sword""?",Michael Moorcock
"Who is the author of the book ""Tim Gunn: The Natty Professor: A Master Class on Mentoring, Motivating, and Making It Work!""?",Tim Gunn
"Who is the author of the book ""The Fall of Atlantis""?",Marion Zimmer Bradley
"Who is the author of the book ""Snow Kisses""?",Diana Palmer
"Who is the author of the book ""Jesus Outside the Lines: A Way Forward for Those Who Are Tired of Taking Sides""?",Scott Sauls
"Who is the author of the book ""The Case of the Reluctant Model""?",Erle Stanley Gardner
"Who is the author of the book ""Tunnels of Blood""?",Darren Shan
"Who is the author of the book ""The Secret, Book, & Scone Society""?",Ellery Adams
"Who is the author of the book ""The Myth of the Dying Church: How Christianity Is Actually Thriving in America and the World""?",Glenn T Stanton
"Who is the author of the book ""Why Golf?: The Mystery of the Game Revisited""?",Bob Cullen
"Who is the author of the book ""Desolation Angels""?",Jack Kerouac
"Who is the author of the book ""The MacEgan Brothers Series Volume 2: The Warrior's Touch\Taming Her Irish Warrior\The Warrior's Forbidden Virgin\Surrender to an Irish Warrior\Pleasured by the Viking""?",Michelle Willingham
"Who is the author of the book ""The Parrot's Lament, and Other True Tales of Animal Intrigue, Intelligence, and Ingenuity""?",Eugene Linden
"Who is the author of the book ""The Cad and the Co-Ed""?",L.H. Cosway
"Who is the author of the book ""Snowbound""?",Blake Crouch
"Who is the author of the book ""The Philosopher's Apprentice""?",James K. Morrow
"Who is the author of the book ""Empire: How Britain Made the Modern World""?",Niall Ferguson
"Who is the author of the book ""Truckers""?",Terry Pratchett
"Who is the author of the book ""A Spirituality of Living: The Henri Nouwen Spirituality Series""?",Henri J. M. Nouwen
"Who is the author of the book ""Vision of the Future""?",Timothy Zahn
"Who is the author of the book ""The Blond Baboon""?",Janwillem van de Wetering
"Who is the author of the book ""SIDDHARTHA""?",Hermann Hesse
"Who is the author of the book ""Into the Woods: Tales from the Hollows and Beyond""?",Kim Harrison
"Who is the author of the book ""Driver's Ed""?",Caroline B. Cooney
"Who is the author of the book ""Prime Time""?",Sandra Brown
"Who is the author of the book ""Secrets of Eden""?",Chris Bohjalian
"Who is the author of the book ""Darwin's Dangerous Idea: Evolution and the Meaning of Life""?",Daniel C. Dennett
"Who is the author of the book ""The Survivors Club""?",Lisa Gardner
"Who is the author of the book ""La Trilogía de la Niebla""?",Carlos Ruiz Zafón
"Who is the author of the book ""Everything You Ever Wanted to Know about Heaven-- But Never Dreamed of Asking""?",Peter Kreeft
"Who is the author of the book ""A Rocky Mountain Christmas""?",William W. Johnstone
"Who is the author of the book ""Faking It""?",Jennifer Crusie
"Who is the author of the book ""Nine Coaches Waiting""?",Mary Stewart
"Who is the author of the book ""It Ended Badly: Thirteen of the Worst Breakups in History""?",Jennifer Wright
"Who is the author of the book ""Lettres, 1900-1915""?",Henry James
"Who is the author of the book ""Ameriška metafikcija""?",John Barth
"Who is the author of the book ""Against the Empire""?",Jude Watson
"Who is the author of the book ""Apologia Pro Vita Sua - John Henry Newman (ANNOTATED) Full Version of Great Classics Work""?",John Henry Newman
"Who is the author of the book ""Freak The Mighty""?",Rodman Philbrick
"Who is the author of the book ""Cinderella""?",Walt Disney Company
"Who is the author of the book ""American Heroes: Profiles of Men and Women Who Shaped Early America""?",Edmund S. Morgan
"Who is the author of the book ""Made for Love""?",Alissa Nutting
"Who is the author of the book ""The Phenomenology of Spirit""?",Georg Wilhelm Friedrich Hegel
"Who is the author of the book ""Conspiracy of Fools""?",Kurt Eichenwald
"Who is the author of the book ""Awesome Egyptians""?",Terry Deary
"Who is the author of the book ""The Darkest Evening of the Year""?",Dean Koontz
"Who is the author of the book ""Смерть Ивана Ильича""?",Leo Tolstoy
"Who is the author of the book ""The Ladies of Missalonghi""?",Colleen McCullough
"Who is the author of the book ""Roxie and the Hooligans""?",Phyllis Reynolds Naylor
"Who is the author of the book ""A Fly on the Wall""?",E.L. Sayers
"Who is the author of the book ""The Tanners""?",Robert Walser
"Who is the author of the book ""Men and Marriage""?",George Gilder
"Who is the author of the book ""The Day Before the Revolution""?",Ursula K. Le Guin
"Who is the author of the book ""The Statesman""?",Benjamin Jowett
"Who is the author of the book ""Fullmetal Alchemist, Vol. 23""?",Hiromu Arakawa
"Who is the author of the book ""Brother Cadfael's Penance""?",Ellis Peters
"Who is the author of the book ""The Art of Getting Things Done: 10 Prolific Ways to Effectively Manage Your Time""?",Vincent Santiago
"Who is the author of the book ""Mina Wentworth and the Invisible City""?",Meljean Brook
"Who is the author of the book ""Black Dagger Brotherhood, #1-9""?",J.R. Ward
"Who is the author of the book ""The Roots of Coincidence""?",Arthur Koestler
"Who is the author of the book ""The Little Red Book of Prayers, Quotes and Meditations: A Twelve Step Guide to Prayers For Sober Recovery""?",Glenn Langohr
"Who is the author of the book ""Mountain Top Mystery""?",Gertrude Chandler Warner
"Who is the author of the book ""The Third Life Of Grange Copeland""?",Alice Walker
"Who is the author of the book ""The Evolution Of Theology: An Anthropological Study""?",Thomas Henry Huxley
"Who is the author of the book ""NYPD Red""?",James Patterson
"Who is the author of the book ""Bigger Thomas""?",Richard Wright
"Who is the author of the book ""We Live in Water: Stories""?",Jess Walter
"Who is the author of the book ""Lawless""?",Diana Palmer
"Who is the author of the book ""Darwin's Dangerous Idea: Evolution and the Meanings of Life""?",Daniel C. Dennett
"Who is the author of the book ""Farmer Giles of Ham""?",J.R.R. Tolkien
"Who is the author of the book ""Layer Cake""?",J. J. Connolly
"Who is the author of the book ""Leave It to Psmith""?",P.G. Wodehouse
"Who is the author of the book ""The Curtain: An Essay in Seven Parts""?",Milan Kundera
"Who is the author of the book ""Jane Eyre / Les Hauts de Hurle-Vent / Agnes Grey""?",Charlotte Brontë
"Who is the author of the book ""Welcome to Bordertown""?",Holly Black
"Who is the author of the book ""@NatGeo: The Most Popular Instagram Photos""?",National Geographic Society
"Who is the author of the book ""Alice's Adventures In Wonderland And Through The Looking Glass""?",Lewis Carroll
"Who is the author of the book ""The City of Devi""?",Manil Suri
"Who is the author of the book ""Rise of the Huntress""?",Joseph Delaney
"Who is the author of the book ""Blood: A Southern Fantasy""?",Michael Moorcock
"Who is the author of the book ""Memories of My Melancholy Whores""?",Gabriel García Márquez
"Who is the author of the book ""Of Mess and Moxie: Wrangling Delight Out of This Wild and Glorious Life""?",Jen Hatmaker
"Who is the author of the book ""Shoot the Piano Player""?",David Goodis
"Who is the author of the book ""Trading and Investing Reading Sampler: Volume 1""?",John Wiley and Sons
"Who is the author of the book ""City of Thieves""?",David Benioff
"Who is the author of the book ""Timeline""?",Michael Crichton
"Who is the author of the book ""The Terranauts""?",T. Coraghessan Boyle
"Who is the author of the book ""Nauti Boy""?",Lora Leigh
"Who is the author of the book ""Surrender""?",Lisa Renee Jones
"Who is the author of the book ""Kin""?",Holly Black
"Who is the author of the book ""Searoad""?",Ursula K. Le Guin
"Who is the author of the book ""El Imperio eres tú""?",Javier Moro
"Who is the author of the book ""Franklin's Folly""?",Georgina Grey
"Who is the author of the book ""The Nun""?",Denis Diderot
"Who is the author of the book ""Every Year: Short Stories""?",Cecelia Ahern
"Who is the author of the book ""Lucy Sullivan Is Getting Married""?",Marian Keyes
"Who is the author of the book ""Conversations with Kurt Vonnegut""?",Kurt Vonnegut
"Who is the author of the book ""Sometimes the Magic Works: Lessons from a Writing Life""?",Terry Brooks
"Who is the author of the book ""The Anatomy of a Moment: Thirty-Five Minutes in History and Imagination""?",Javier Cercas
"Who is the author of the book ""Both Ways is the Only Way I Want It""?",Maile Meloy
"Who is the author of the book ""The Last Apprentice: Seventh Son: Book 1 and Book 2""?",Joseph Delaney
"Who is the author of the book ""Second Wind""?",Dick Francis
"Who is the author of the book ""Bouvard and Pecuchet""?",Gustave Flaubert
"Who is the author of the book ""Flores en el ático""?",V.C. Andrews
"Who is the author of the book ""The Retribution""?",Val McDermid
"Who is the author of the book ""The Five Love Languages Singles Edition""?",Gary Chapman
"Who is the author of the book ""Mister Monday""?",Garth Nix
"Who is the author of the book ""This Lullaby""?",Sarah Dessen
"Who is the author of the book ""La lucha contra el demonio""?",Stefan Zweig
"Who is the author of the book ""Moment of Truth""?",Lisa Scottoline
"Who is the author of the book ""Open: How We’ll Work, Live and Learn In The Future""?",David Price
"Who is the author of the book ""Katherine of Aragon, the True Queen""?",Alison Weir
"Who is the author of the book ""Dealing in Futures""?",Joe Haldeman
"Who is the author of the book ""Chaotic""?",Kelley Armstrong
"Who is the author of the book ""The Lesson of Her Death""?",Jeffery Deaver
"Who is the author of the book ""The Call of the Wild/White Fang""?",Jack London
"Who is the author of the book ""I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban""?",Malala Yousafzai
"Who is the author of the book ""The Milagro Beanfield War""?",John Nichols
"Who is the author of the book ""Midnight Falcon""?",David Gemmell
"Who is the author of the book ""Maximum Ride, Vol. 3""?",James Patterson
"Who is the author of the book ""Monster Nation""?",David Wellington
"Who is the author of the book ""Peas & Queues: The Minefield of Modern Manners""?",Sandi Toksvig
"Who is the author of the book ""Theogony / Works and Days""?",Hesiod
"Who is the author of the book ""Robert Ludlum's Bourne Collection: 8 Great Novels""?",Robert Ludlum
"Who is the author of the book ""Plum Island""?",Nelson DeMille
"Who is the author of the book ""The Adventuress""?",Audrey Niffenegger
"Who is the author of the book ""The Door into Summer""?",Robert A. Heinlein
"Who is the author of the book ""Noah Barleywater Runs Away: A Fairytale""?",John Boyne
"Who is the author of the book ""Demon's Kiss""?",Maggie Shayne
"Who is the author of the book ""The Duck Commander Family""?",Willie Robertson
"Who is the author of the book ""Beyond Tuesday Morning""?",Karen Kingsbury
"Who is the author of the book ""Actors Anonymous: A Novel""?",James Franco
"Who is the author of the book ""Liar, Liar: The Theory, Practice and Destructive Properties of Deception""?",Gary Paulsen
"Who is the author of the book ""Dr. Haggard's Disease""?",Patrick McGrath
"Who is the author of the book ""The Importance of Being Earnest: And Other Plays""?",Oscar Wilde
"Who is the author of the book ""On Ugliness""?",Umberto Eco
"Who is the author of the book ""Love Letters in the Sand: The Love Poems of Khalil Gibran""?",Kahlil Gibran
"Who is the author of the book ""The Hellfire Club""?",Peter Straub
"Who is the author of the book ""The Man from the Diogenes Club""?",Kim Newman
"Who is the author of the book ""Abarat""?",Clive Barker
"Who is the author of the book ""Inside the Third Reich""?",Albert Speer
"Who is the author of the book ""Same Sun Here""?",Silas House
"Who is the author of the book ""Summer Rental""?",Mary Kay Andrews
"Who is the author of the book ""The Milk Train Doesn't Stop Here Anymore""?",Tennessee Williams
"Who is the author of the book ""Moloka'i""?",Alan Brennert
"Who is the author of the book ""Willing to Believe: The Controversy over Free Will""?",R.C. Sproul
"Who is the author of the book ""Caboose Mystery""?",Gertrude Chandler Warner
"Who is the author of the book ""Undercover Sex Signals: A Guide For Guys""?",Leil Lowndes
"Who is the author of the book ""Intimate Matters: A History of Sexuality in America, Third Edition""?",John D'Emilio
"Who is the author of the book ""Hellblazer: All His Engines""?",Mike Carey
"Who is the author of the book ""Siddharta""?",Hermann Hesse
"Who is the author of the book ""No Judgments""?",Meg Cabot
"Who is the author of the book ""The Journals of Susanna Moodie""?",Margaret Atwood
"Who is the author of the book ""World Brain""?",H.G. Wells
"Who is the author of the book ""Despereaux = Tale of Despereaux""?",Kate DiCamillo
"Who is the author of the book ""The Pusher""?",Ed McBain
"Who is the author of the book ""The Bloodline Feud""?",Charles Stross
"Who is the author of the book ""The Wire In The Blood""?",Val McDermid
"Who is the author of the book ""Kitty and the Silver Bullet""?",Carrie Vaughn
"Who is the author of the book ""House of Holes""?",Nicholson Baker
"Who is the author of the book ""Twilight Sleep""?",Edith Wharton
"Who is the author of the book ""Love is Stronger Than Death""?",Peter Kreeft
"Who is the author of the book ""Dinner at the Center of the Earth""?",Nathan Englander
"Who is the author of the book ""The Complete Notebooks of Henry James""?",Henry James
"Who is the author of the book ""Green Mars""?",Kim Stanley Robinson
"Who is the author of the book ""Prince of Foxes: The Best-Selling Historical Epic""?",Samuel Shellabarger
"Who is the author of the book ""Be Patient (Job): Waiting on God in Difficult Times""?",Warren W. Wiersbe
"Who is the author of the book ""Shadow Tyrants""?",Clive Cussler
"Who is the author of the book ""It's Not About The Bike: My Journey Back To Life""?",Lance Armstrong and Sally Jenkins
"Who is the author of the book ""Fragile Things: Short Fictions and Wonders""?",Neil Gaiman
"Who is the author of the book ""Size 12 and Ready to Rock""?",Meg Cabot
"Who is the author of the book ""A Fine Summer's Day""?",Charles Todd
"Who is the author of the book ""Jump Cut""?",Max Allan Collins
"Who is the author of the book ""The Book of the SubGenius : The Sacred Teachings of J.R. 'Bob' Dobbs""?",J.R. Dobbs
"Who is the author of the book ""Middle School: How I Survived Bullies, Broccoli, and Snake Hill""?",James Patterson
"Who is the author of the book ""My Life So Far""?",Jane Fonda
"Who is the author of the book ""сърцето ти нося""?",E.E. Cummings
"Who is the author of the book ""Tomb of the Golden Bird""?",Elizabeth Peters
"Who is the author of the book ""Dearly Beloved""?",Mary Jo Putney
"Who is the author of the book ""My Sister's Keeper""?",Jodi Picoult
"Who is the author of the book ""Mindfulness for Beginners""?",Jon Kabat-Zinn
"Who is the author of the book ""A Game of Thrones""?",George R. R. Martin
"Who is the author of the book ""The Lost Get-Back Boogie""?",James Lee Burke
"Who is the author of the book ""Freya of the Seven Isles""?",Joseph Conrad
"Who is the author of the book ""The Cancer Journals""?",Audre Lorde
"Who is the author of the book ""The Sadeian Woman: An Exercise in Cultural History""?",Angela Carter
"Who is the author of the book ""The Marsh King's Daughter""?",Elizabeth Chadwick
"Who is the author of the book ""The Grapes of Wrath""?",John Steinbeck
"Who is the author of the book ""Rocannon's World""?",Ursula K. Le Guin
"Who is the author of the book ""Diable, a Dog""?",Jack London
"Who is the author of the book ""Naked Economics: Undressing the Dismal Science""?",Charles Wheelan
"Who is the author of the book ""Letters""?",D.H. Lawrence
"Who is the author of the book ""The Full Cupboard of Life""?",Alexander McCall Smith
"Who is the author of the book ""The Autobiography and Correspondence of Edward Gibbon the Historian""?",Edward Gibbon
"Who is the author of the book ""Happy Money: The Science of Smarter Spending""?",Elizabeth Dunn
"Who is the author of the book ""‫السمان والخريف ‬""?",Naguib Mahfouz
"Who is the author of the book ""The Science of Philip Pullman's His Dark Materials""?",Philip Pullman
"Who is the author of the book ""Grateful: The Transformative Power of Giving Thanks""?",Diana Butler Bass
"Who is the author of the book ""Not That Bad: Dispatches from Rape Culture""?",Roxane Gay
"Who is the author of the book ""Earth in the Balance: Ecology and the Human Spirit""?",Al Gore
"Who is the author of the book ""The Naked Ape: A Zoologist's Study of the Human Animal""?",Desmond Morris
"Who is the author of the book ""Awakening Your Inner Genius""?",Sean Patrick
"Who is the author of the book ""The Haunted Man and the Ghost's Bargain""?",Charles Dickens
"Who is the author of the book ""In the Year of Our Lord: Reflections on Twenty Centuries of Church History""?",Sinclair B. Ferguson
"Who is the author of the book ""To Show and to Tell: The Craft of Literary Nonfiction""?",Phillip Lopate
"Who is the author of the book ""Inventing the Enemy: Essays""?",Umberto Eco
"Who is the author of the book ""Beyond Eden""?",Catherine Coulter
"Who is the author of the book ""El Ingenioso Hidalgo Don Quijote De La Mancha, Volume 1""?",Miguel de Cervantes Saavedra
"Who is the author of the book ""PRIMAL Unleashed""?",Jack Silkstone
"Who is the author of the book ""Change: Principles of Problem Formation and Problem Resolution""?",Paul Watzlawick
"Who is the author of the book ""Angst""?",Stefan Zweig
"Who is the author of the book ""Revelation""?",Drew Karpyshyn
"Who is the author of the book ""The Masqueraders""?",Georgette Heyer
"Who is the author of the book ""Worlds 2""?",Eric Flint
"Who is the author of the book ""Artemis Fowl and the Eternity Code""?",Eoin Colfer
"Who is the author of the book ""This Morning, This Evening, So Soon""?",James Baldwin
"Who is the author of the book ""Barn Burning and other stories""?",William Faulkner
"Who is the author of the book ""Metro Girl""?",Janet Evanovich
"Who is the author of the book ""Trapped""?",Kevin Hearne
"Who is the author of the book ""The Blue Cross: A Father Brown Mystery""?",G.K. Chesterton
"Who is the author of the book ""The Thinker's Way""?",John Chaffee
"Who is the author of the book ""Listen""?",Rene Gutteridge
"Who is the author of the book ""Mr. Monk is Cleaned Out""?",Lee Goldberg
"Who is the author of the book ""The 7 Habits of Highly Effective People""?",Stephen Covey
"Who is the author of the book ""Troll's Eye View: A Book of Villainous Tales""?",Ellen Datlow
"Who is the author of the book ""Necklace of Kisses""?",Francesca Lia Block
"Who is the author of the book ""Alacakaranlıkta Bir Öykü""?",Stefan Zweig
"Who is the author of the book ""Terminal Freeze""?",Lincoln Child
"Who is the author of the book ""The Brothers Karamazov: By Fyodor Dostoyevsky - Illustrated And Unabridged""?",Fyodor Dostoyevsky
"Who is the author of the book ""City of Truth""?",James K. Morrow
"Who is the author of the book ""Lioness Rampant""?",Tamora Pierce
"Who is the author of the book ""Unlucky 13""?",James Patterson
"Who is the author of the book ""All Stirred Up""?",Z.A. Maxfield
"Who is the author of the book ""The Star""?",Arthur C. Clarke
"Who is the author of the book ""Midnighters Manga #1""?",Scott Westerfeld
"Who is the author of the book ""Room""?",Emma Donoghue
"Who is the author of the book ""Fame""?",Karen Kingsbury
"Who is the author of the book ""Reel to Real: Race, Sex, and Class at the Movies""?",bell hooks
"Who is the author of the book ""The Firebrand""?",Marion Zimmer Bradley
"Who is the author of the book ""To Beguile a Beast""?",Elizabeth Hoyt
"Who is the author of the book ""At the End of the Century: The Stories of Ruth Prawer Jhabvala""?",Ruth Prawer Jhabvala
"Who is the author of the book ""The Starlight Crystal""?",Christopher Pike
"Who is the author of the book ""On Beulah Height""?",Reginald Hill
"Who is the author of the book ""Death of a Policeman""?",M.C. Beaton
"Who is the author of the book ""SALT Summaries, Condensed Ideas About Long-term Thinking""?",Stewart Brand
"Who is the author of the book ""Eric Brighteyes""?",H. Rider Haggard
"Who is the author of the book ""The Euro: How a Common Currency Threatens the Future of Europe""?",Joseph E. Stiglitz
"Who is the author of the book ""The Wild Ass's Skin""?",Honoré de Balzac
"Who is the author of the book ""The Beauty of the Husband: A Fictional Essay in 29 Tangos""?",Anne Carson
"Who is the author of the book ""Best New Horror 21""?",Mark Valentine
"Who is the author of the book ""Simple Times: Crafts for Poor People""?",Amy Sedaris
"Who is the author of the book ""Decoded""?",Jay-Z
"Who is the author of the book ""Taran Wanderer""?",Lloyd Alexander
